fid,OBJECTID_1,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER,layer,path,HIFLD_ID,Owner,mu_DS1,mu_DS2,mu_DS3,mu_DS4,beta_DS1,beta_DS2,beta_DS3,beta_DS4,mu_DS1_old,mu_DS2_old,mu_DS3_old,mu_DS4_old,beta_DS1_old,beta_DS2_old,beta_DS3_old,beta_DS4_old,id,PGA_Northridge,PGA_SanFernando,PGA_LongBeach,PGA_2pc50
313,64923,64923,300601,SANITREAT,LOS ANGELES,CA,90710,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.807017,-118.2989839,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,https://cecgis-caenergy.opendata.arcgis.com/,1528761600000,OTHER,1528761600000,0,66,-999999,N,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,300601,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,300601,0.11885961087134464,0.07712279070314419,0.3424697349826672,0.9032884666556781
310,64911,64911,300589,STATION 54,LOS ANGELES,CA,90027,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.10137857,-118.287806,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,1,66,66,Y,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,300589,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,300589,0.3193748054574475,0.1783695064895545,0.08859162124713323,0.9876665133845856
351,65026,65026,300704,UNKNOWN300704,LOS ANGELES,CA,90710,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,33.7877886790001,-118.3002226,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,1,66,66,Y,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,300704,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,300704,0.12040977684460462,0.06832562466725288,0.31456922892572997,0.9269002778631114
582,65654,65654,301332,SS3143,LOS ANGELES,CA,90027,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.11306872,-118.2677456,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1519776000000,1,66,66,Y,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,301332,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,301332,0.31443666133233117,0.21255869104707725,0.08323969516966777,0.9997387089419714
701,65958,65958,301636,SAN FERNANDO,LOS ANGELES,CA,91345,SUBSTATION,NOT AVAILABLE,LOS ANGELES,6037,USA,34.2735632820001,-118.458755,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,1,66,66,Y,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,301636,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,301636,0.7301001383991158,0.5136272451562509,0.062144882555265776,1.2242263917127418
904,66493,66493,302171,SAWTELLE,LOS ANGELES,CA,90025,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.04740878,-118.4522527,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1520985600000,2,66,66,N,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,302171,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,302171,0.38899228694687077,0.11454894605989492,0.12497466503140157,0.9188933254713705
938,66582,66582,302260,UNKNOWN302260,LOS ANGELES,CA,91040,SUBSTATION,NOT AVAILABLE,LOS ANGELES,6037,USA,34.2592732640001,-118.3213031,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,0,66,-999999,Y,N,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,302260,,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,302260,0.2613679780205327,0.47150033464993696,0.04946112624557477,1.0864087044178774
1533,68098,68098,303776,SS3145,LOS ANGELES,CA,90065,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.08673267,-118.21442,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1519776000000,3,66,66,Y,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,303776,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,303776,0.2582423315995414,0.15930198272803717,0.0936998048598981,1.0030433325979675
1563,68180,68180,303858,SS3144,LOS ANGELES,CA,90065,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.12072386,-118.2262405,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1519689600000,1,66,66,Y,Y,CA-sub-1,C:\2025-2026 Fall\Network science\Project\CA-sub-1.customization|layername=CA-sub-1,303858,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,303858,0.2513328734523572,0.2018414698401558,0.08043326746412337,1.0359404808270336
2266,70102,70102,305781,UNKNOWN305781,LOS ANGELES,CA,90042,SUBSTATION,IN SERVICE,LOS ANGELES,6037,USA,34.11393807,-118.189387,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,California Energy Commission http://www.energy.ca.gov/maps/,1435017600000,IMAGERY/OTHER,1435017600000,2,66,66,Y,Y,CA-sub-2,C:\2025-2026 Fall\Network science\Project\CA-sub-2.customization|layername=CA-sub-2,305781,SCE,0.15,0.29,0.45,0.9,0.7,0.55,0.45,0.45,0.13,0.26,0.34,0.74,0.65,0.5,0.4,0.4,305781,0.20174922245862206,0.18161659506482883,0.08173901611364574,1.046821938994439
